
----------RESTART----------
[2025-05-02 09:28:16] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8003))
[2025-05-02 09:28:16] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8003))
[2025-05-02 09:28:16] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8003))
[2025-05-02 09:28:16] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8003))
[2025-05-02 09:28:16] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:28:16] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:28:16] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:28:16] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:28:16] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:28:16] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:28:16] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:28:16] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8003))
[2025-05-02 09:28:16] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8003))
[2025-05-02 09:28:17] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:28:17] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:28:17] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8003))
[2025-05-02 09:28:17] [INFO] OWN_VOTE_DETECTED (9480e15092705907ad2aa09e6f883cd78244197c52489b723efbb9c05e59bf3c)
[2025-05-02 09:28:17] [WARN] own vote
[2025-05-02 09:28:17] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:28:17] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:28:17] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8003))
[2025-05-02 09:28:17] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:28:17] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:28:17] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:28:17] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:28:17] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8003))
[2025-05-02 09:28:17] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8003))
[2025-05-02 09:28:18] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:28:18] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8003))
[2025-05-02 09:28:18] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:28:18] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8003))
[2025-05-02 09:28:18] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8003))
[2025-05-02 09:28:18] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:28:18] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:28:18] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:28:18] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:28:18] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8003))
[2025-05-02 09:28:18] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:28:18] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:28:18] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:28:18] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:28:18] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8003))
[2025-05-02 09:28:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:28:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:28:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8003))
[2025-05-02 09:28:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8003))
[2025-05-02 09:28:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:28:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:28:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:28:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:28:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8003))
[2025-05-02 09:28:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8003))
[2025-05-02 09:28:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8003))
[2025-05-02 09:28:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:28:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:28:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:28:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:28:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:28:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:28:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:28:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8003))
[2025-05-02 09:28:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8003))
[2025-05-02 09:28:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8003))
[2025-05-02 09:28:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8003))
[2025-05-02 09:28:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:28:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:28:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:28:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8003))
[2025-05-02 09:28:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8003))
[2025-05-02 09:28:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:28:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:28:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:28:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:28:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:28:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:28:21] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:28:21] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8003))
[2025-05-02 09:28:21] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
